exposure_type,account_number,entity_code,entity_name,account_status,account_balance,product_code,product_subcode,cost_center,days_delinquent,days_delinquent_bucket,npl_flag,date_opened
Loan,530b480306725d61f281bd533199b8c5,3dd883b9b9e6846c485456dd85cb855c,Legal Entity C,Open,265000,LOAN,02,17c48a40993a242d603102a4ad457537,0,0,false,2011-03-14
Loan,c78101811f4c4c0f55cb19d131ca4922,1f7e68f1772022850e1287cb0dd3d3b9,Legal Entity A,Open,101000,LOAN,03,19fe5ba70df2ba043d749562e2f9b7bf,0,0,false,2012-06-30
Loan,85e2373476cb521e7d477c5c6e2f5ebe,1f7e68f1772022850e1287cb0dd3d3b9,Legal Entity A,Open,290000,LOAN,03,1a1922d5a8c4a1f6254920775118d96e,0,0,false,2008-03-21
Loan,b30c210d382673605f578bde5616530d,1f7e68f1772022850e1287cb0dd3d3b9,Legal Entity A,Open,10000,LOAN,03,1a1922d5a8c4a1f6254920775118d96e,0,0,false,2006-09-23
Loan,9633707fa3f1be8eb2f62b15a9cb4ef0,1f7e68f1772022850e1287cb0dd3d3b9,Legal Entity A,Open,265000,LOAN,01,1a1922d5a8c4a1f6254920775118d96e,0,0,false,2009-01-05
Loan,f44397b4ead0fb32bfb8f68687b39621,1f7e68f1772022850e1287cb0dd3d3b9,Legal Entity A,Open,800000,LOAN,03,1a1922d5a8c4a1f6254920775118d96e,0,0,false,1997-01-10
Loan,45f0c75b72651c4996196e41b3a4bf51,1f7e68f1772022850e1287cb0dd3d3b9,Legal Entity A,Open,800000,LOAN,01,1a1922d5a8c4a1f6254920775118d96e,0,0,false,1996-06-19
Loan,e926609a83ca0deccd5df8a2d9b578dc,1f7e68f1772022850e1287cb0dd3d3b9,Legal Entity A,Open,10000,LOAN,01,1a1922d5a8c4a1f6254920775118d96e,0,0,false,1999-01-12
Loan,6526658bf76f168c7785617e0f8465e2,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,800000,LOAN,02,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2000-04-24
Loan,5a70d1cf5f83e093cf02df509a7a8a89,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,101000,LOAN,02,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2001-08-19
Loan,340539681be96416eaedc66f0397c8fb,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,290000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2015-05-24
Loan,3ced28e7db83450a006a2c21fc8a2097,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,800000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2006-04-26
Loan,84ee7183d521cba23ffc41f69a205aa7,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,101000,LOAN,01,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2001-03-04
Loan,3110624f0bacda900368b74c57135dc1,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,101000,LOAN,01,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2003-07-22
Loan,849b9804f86b0d814fe4c3387d6d9684,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,800000,LOAN,01,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2003-11-09
Loan,d004d6499b88be68c49f8011da67b76d,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,265000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2000-09-21
Loan,800f08048d63feaca91a9c206dd0ae27,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,290000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2002-09-07
Loan,f885ce1faab6bb8a5deed687d2c543b5,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,265000,LOAN,01,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2000-05-03
Loan,6b6e7e8d6437b945a1e37e4039d6e130,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,800000,LOAN,02,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2000-04-25
Loan,c977adfcb8068ef18fb65e1207a4e774,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,800000,LOAN,02,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2000-11-11
Loan,211bf879f83009041d1a9c8ef41115fb,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,10000,LOAN,01,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2000-02-01
Loan,07dc1a56f12d259ff9062d5448d582d4,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,10000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2007-07-09
Loan,a2f06566de6616346e7a32f1cdbe6d83,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,10000,LOAN,01,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2003-01-05
Loan,14a19a8418dd4402b7dcf276972a1a7d,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,10000,LOAN,01,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2008-12-24
Loan,0761112249a69173b384475adf8c25d4,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,101000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2000-11-28
Loan,a2ba2f5ebc134f5daa8b069e6ea2bb5f,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,10000,LOAN,01,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2014-02-27
Loan,2838f83138f5b3c7af7aa9629f1e5838,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,290000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2017-11-25
Loan,e0ede7409a8668ef8c8e15341ea07631,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,290000,LOAN,02,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2007-05-07
Loan,22c77377711858ab01ed01f6e52411fa,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,10000,LOAN,02,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,1999-07-29
Loan,4c6d00fc7030a0fd45aea2edecbb30d1,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,290000,LOAN,01,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2004-02-26
Loan,47e41acdbe130f59ea3a8eba1f0c0f32,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,10000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2006-01-02
Loan,178b0a09ae302933235358ed2ac36b64,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,10000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2014-10-20
Loan,38ad24b1c360588924b35c6077b5a09b,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,800000,LOAN,02,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2001-01-18
Loan,b9f80cf0e8d8088dafeac70afd8a1e69,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,800000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2001-02-17
Loan,07613e4ce693fec8e1f1299a5ffc47ae,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,10000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2002-10-05
Loan,72af339151c56793ebecd5fed4b62696,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,10000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2005-04-01
Loan,da6b4a68ef048669e538c170c58bbf60,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,800000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2007-11-04
Loan,8010ecae46621a14006211fd538c2659,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,800000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2001-09-25
Loan,21b40e94ec094a395ff94b3c88d17f2b,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,800000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2008-06-04
Loan,89b550b1554a1b8aa00e57c1bebfdf76,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,265000,LOAN,02,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2014-09-01
Loan,db4f85c47f488c9fa7e3d53e2b91f98c,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,265000,LOAN,02,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2004-06-04
Loan,a8fb57691aec677fe930ebc01d9eba57,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,101000,LOAN,01,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2000-11-07
Loan,d84d3efbee21f8cd8e6fc022f75db493,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,290000,LOAN,02,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2006-05-27
Loan,7b1129041b4eceb0e549a411cd5b7b5e,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,290000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,1999-07-05
Loan,26ea891ec3a7b9d51de3a9ab42442303,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,265000,LOAN,01,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2013-01-03
Loan,0847702a46609a2f252e8e49563f0a00,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,10000,LOAN,01,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2006-04-29
Loan,8228bfa13c8d3279637c62fb58f7a6f1,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,10000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2000-04-17
Loan,01e1542bfcbf321315a27117312de1ea,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,265000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2005-11-08
Loan,723d643c18f802cc6e6f5ac4971ca793,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,290000,LOAN,01,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2007-03-28
Loan,70e8cf5dcd3164b4fe18cc5ab752391d,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,10000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2000-05-17
Loan,9716e6b4dd51ee097b097960a3d1855f,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,265000,LOAN,01,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2008-10-08
Loan,74f339e7405b879f793c6187c41a4fcb,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,290000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,1999-01-25
Loan,a5884e2ebdcec320f341ce1f38a32f6b,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,800000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2000-06-24
Loan,14469cdd868f2c03a1d7a34fe3ba8078,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,101000,LOAN,01,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2000-08-14
Loan,b94480c96656c01a3ccb67785f934c83,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,101000,LOAN,02,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2008-11-13
Loan,b08d0e5028882bcb2ea3a4a296b35151,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,290000,LOAN,01,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2005-03-21
Loan,b0c67ab46186a98aa049fe511c9fd639,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,800000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2000-10-01
Loan,b76802495461b54cf8f46673a33ff1a2,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,265000,LOAN,01,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2006-11-13
Loan,0b2f0abf41e1aa34820e4784de279ff2,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,10000,LOAN,01,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2000-02-26
Loan,ff89dea529fb1d8e2450eb5a4e07598a,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,101000,LOAN,01,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2006-06-03
Loan,a800df353ed041503828a9d50ce24e92,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,290000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2000-12-18
Loan,08e647139ff3c47c58befd89fea39f66,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,10000,LOAN,02,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2000-03-16
Loan,80693c2cf9d6a205dd2709ae8440231e,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,10000,LOAN,02,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2006-11-04
Loan,93c92e98d0eb9a3be01a1d1287e35364,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,10000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2000-07-30
Loan,667e962d95794126937a89c6ac6303cc,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,10000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2000-06-04
Loan,aedb706343a7429b073bb68b2379078e,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,290000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2014-03-14
Loan,43eb3ce99650783d4d3490f9aa726879,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,290000,LOAN,01,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2009-03-01
Loan,a104bf4fddfe421b3c771a81f1bdb92d,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,101000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2003-05-31
Loan,396aa06c04e90a95ca2cf5dcc4b4365f,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,800000,LOAN,01,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2000-11-22
Loan,575d21610d9719774820277f875af0d3,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,800000,LOAN,01,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2003-12-27
Loan,423934e0c8bf7aa918277ef49d40dc72,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,10000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2001-02-04
Loan,d10a9291747df86b94a7fb4f1122a3ff,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,265000,LOAN,02,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2014-01-09
Loan,0e58269a6b1a0eb3065d451fa252186c,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,800000,LOAN,01,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2001-11-04
Loan,da62890842fb0a262b091d2a2698d144,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,800000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2008-07-15
Loan,a548eac7de5b868ae5019d66327805de,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,101000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2006-10-16
Loan,52100ca515e45d20700a28ef045ae744,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,290000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2002-03-17
Loan,7516bb993d0f93f5e98f63c43ac5b031,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,265000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2006-06-09
Loan,07402bc21bc5ef1c305ce469bd179381,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,290000,LOAN,01,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2000-03-15
Loan,19fad8ac3ebc149c7439fea35e194692,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,101000,LOAN,02,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2006-06-25
Loan,b56d221029b7823fcbb6d19f8868b931,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,290000,LOAN,02,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2005-03-20
Loan,fca3668c94ce53925b44e628346ed0d3,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,290000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2000-03-04
Loan,0bf3acfbae31ca26bb240f78b6d8993d,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,265000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,1999-07-31
Loan,ef5e89e7e5556d92c8fc81c73e4c6353,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,265000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2008-01-10
Loan,7f00e567f85805123ddb949e2b2cb9b8,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,101000,LOAN,01,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2007-10-20
Loan,118556e8358d03311619c5b057c6fecd,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,101000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2015-01-08
Loan,14b93dae6d1818d355e4133ebf3deb38,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,290000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2003-12-25
Loan,cabd5f3b2daef3a510aa6579aeb5ee9b,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,800000,LOAN,01,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,1997-04-17
Loan,7de1043d16ea7e88c58217d2c4d60bb6,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,265000,LOAN,02,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,1999-07-27
Loan,7981156076ca3d3eb9107cceaca5ca2e,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,101000,LOAN,01,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2006-04-02
Loan,15a359ec906c420a0b33a8e8de710cdb,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,101000,LOAN,02,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2008-03-31
Loan,4b807ddbc4e2fd3586001baed45194be,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,101000,LOAN,02,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2007-10-28
Loan,4e6bd665d41c8d0aca572daf722e660a,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,265000,LOAN,02,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2000-06-12
Loan,2f65eafb31c764c9a49c8719e989c4ca,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,290000,LOAN,02,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2007-07-29
Loan,721f9fa86b290d35007b176d68f23f64,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,290000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2000-01-01
Loan,d01b0f8a737d4a832f3564de495e0e14,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,800000,LOAN,01,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2004-02-26
Loan,9c45f2c5764dfdfd88deec3910591d4b,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,10000,LOAN,01,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2001-02-11
Loan,b2cd90ec9f0faea2af12ba10171671e0,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,10000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2016-05-28
Loan,e3c2ab53e17fd51edd6ec5e4fd87e3c5,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,10000,LOAN,02,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2008-11-06
Loan,ed1e4450f83148fbb77cd1a846691f9a,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,10000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2008-10-21
Loan,5c52f64bb2e675f67e2861d916191720,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,101000,LOAN,02,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,1995-10-03
Loan,376006bb92c09a142498542b2671e7b3,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,290000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2000-12-06
Loan,66697a1af5bcc26453a6f051ac80740c,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,800000,LOAN,02,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2003-11-16
Loan,449426e74fc94d74427a0c0492197b01,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,800000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2000-12-16
Loan,0e46428d1b98ab03071498032af29a4c,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,101000,LOAN,01,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2012-12-28
Loan,f971668117ef43d0635518e770ec54c8,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,290000,LOAN,02,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,1999-12-16
Loan,531a61dd1ad9393a4dbb6ac51d35808b,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,290000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2000-01-12
Loan,31f30b1e0cc7a934d27aa3a7c17b84f9,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,800000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2008-12-17
Loan,7fcb03897b699abe988241ef78c2c63c,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,290000,LOAN,02,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2008-05-31
Loan,805df1125b83c76f3b531349f95db2f1,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,101000,LOAN,01,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2004-11-03
Loan,343e96816ccbca2c0199d64bf6fe438f,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,101000,LOAN,02,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2000-10-16
Loan,5536c242c90314b739d6a68271f353bd,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,101000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2013-03-08
Loan,107a1a27bbfb13a91cca329843d6e083,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,290000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2007-08-25
Loan,b8493a456699cd7cc7ac9e39d4328ccc,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,101000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2000-08-01
Loan,716a14de63faab63a4acc065cfca3e76,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,265000,LOAN,03,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,2008-06-20
Loan,4d488523601a73c4024f38dcc45060fe,b03b5afa72f7c8aaff4495ccdd3baa40,Legal Entity F,Open,101000,LOAN,02,21ea3bf754b76aee1d1527bf9cb864c0,0,0,false,1995-11-03
Current Account,1a4f5c8546ba0ee04ce594fc59811d36,1f7e68f1772022850e1287cb0dd3d3b9,Legal Entity A,Open,0,CA,02,2232849007f7f98fedd0dac7bcfc376d,0,0,false,2013-04-14
Loan,d41d8610b55d2ebca74e5b376cceab6b,1f7e68f1772022850e1287cb0dd3d3b9,Legal Entity A,Open,290000,LOAN,01,2232849007f7f98fedd0dac7bcfc376d,0,0,false,2013-04-11
